CB,Localisation,Cote,Sous-localisation,Type de document,Titre,Auteur,Editeur,Date de publication,Date de création
*10004133*,LINGOACTU,021 ECO,RESE,DOA,De bibliotheca,Umberto Eco,l'Échoppe,1986,08/03/2007
*154282*,CEVMAG,027 HIS,ADU,DOA,Histoire des bibliothèques françaises,sous la direction d'André Vernet,Promodis - Editions du Cercle de la librairie,impr. 1989,12/09/1994
*154287*,CEVMAG,027 HIS,ADU,DOA,Histoire des bibliothèques françaises,"sous la dir. de Claude Jolly,...",Promodis-Éd. du Cercle de la Librairie,impr. 1988,12/09/1994
*154289*,CEVMAG,027 HIS,ADU,DOA,Histoire des bibliothèques françaises,"sous la dir. de Dominique Varry,...",Promodis-Éd. du Cercle de la librairie,impr. 1991,12/09/1994
*15741206*,CEVMAG,025 GIA,ADU,DOA,Manuel théorique et pratique d'évaluation des bibliothèques et centres documentaires,Thierry Giappiconi,Ed. du Cercle de la Librairie,2001,05/12/2001
*15871901*,CEVADU,027 ECO,BP,DOA,De bibliotheca,Umberto Eco,l'Échoppe,1986,26/09/2001
*17025780*,CEVADU,BP 025 ASS,,DOA,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,28/11/2003
*1702580X*,CEVMAG,025 ASS,ADU,DOA,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,28/11/2003
*17025822*,CEVADU,BP 025 ASS,,DOA,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,28/11/2003
*17025846*,CEVMAG,020 ASS,JEU,DOJ,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,28/11/2003
*1702586X*,CEVJEU,J 020 ASS,BP,ORJ,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,13/08/2004
*17028225*,CEVADU,002 JAC,,DOA,Les métamorphoses du lecteur,sous la dir. de Christian Jacob,Bibliothèque nationale de France,2002,22/03/2005
